date,market,exchange,symbol,name,sector,industry,currency,screener_market_cap,fullExchangeName,exchangeTimezoneName,financialCurrency,regularMarketPrice,regularMarketPreviousClose,regularMarketTime,sharesOutstanding,impliedSharesOutstanding,epsTrailingTwelveMonths,epsForward,epsCurrentYear,bookValue,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyTwoWeekChangePercent,averageDailyVolume3Month,earningsTimestamp,averageAnalystRating,q1_period_end,q2_period_end,q3_period_end,q4_period_end,q5_period_end,marketCap_current,marketCap_q1,marketCap_q2,marketCap_q3,marketCap_q4,marketCap_q5,enterpriseValue_current,enterpriseValue_q1,enterpriseValue_q2,enterpriseValue_q3,enterpriseValue_q4,enterpriseValue_q5,trailingPE_current,trailingPE_q1,trailingPE_q2,trailingPE_q3,trailingPE_q4,trailingPE_q5,forwardPE_current,forwardPE_q1,forwardPE_q2,forwardPE_q3,forwardPE_q4,forwardPE_q5,pegRatio5y_current,pegRatio5y_q1,pegRatio5y_q2,pegRatio5y_q3,pegRatio5y_q4,pegRatio5y_q5,priceToSales_current,priceToSales_q1,priceToSales_q2,priceToSales_q3,priceToSales_q4,priceToSales_q5,priceToBook_current,priceToBook_q1,priceToBook_q2,priceToBook_q3,priceToBook_q4,priceToBook_q5,enterpriseToRevenue_current,enterpriseToRevenue_q1,enterpriseToRevenue_q2,enterpriseToRevenue_q3,enterpriseToRevenue_q4,enterpriseToRevenue_q5,enterpriseToEbitda_current,enterpriseToEbitda_q1,enterpriseToEbitda_q2,enterpriseToEbitda_q3,enterpriseToEbitda_q4,enterpriseToEbitda_q5
2026-09-10,CN,SHH,601398.SS,INDUSTRIAL & COMMERCIAL BK OF C,Financial Services,Banks - Diversified,CNY,2886890900000.0,Shanghai,Asia/Shanghai,CNY,8.1,8.0,1789023600,269612212539,356406257089,1.01,1.07166,1.01788,11.117,8.4,6.85,6.5246344,401021204,,1.8 - Buy,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2717522300000.0,2390011000000.0,2585056600000.0,2625000500000.0,2539675400000.0,2306632900000.0,,,,,,,7.920792,7.0,7.64,8.010101,7.824742,7.030612,7.3368,6.93,7.4963,7.8493,7.5873,6.8213,1.3592,1.2836,3.4861,3.6519,3.45,2.7844,3.398894,3.055211,3.378317,3.538585,3.500785,3.147304,0.676924,0.598175,0.659415,0.69725,0.693335,0.640285,5.6435,4.8381,5.9036,6.0363,5.2032,4.6865,,,,,,
2026-09-10,CN,SHH,688825.SS,CXMT CORPORATION,Technology,Semiconductors,CNY,3882970500000.0,Shanghai,Asia/Shanghai,CNY,57.2,56.87,1789023600,67884099077,67884099077,1.36,4.70758,3.12246,2.238,61.8,38.11,16.061222,505485283,,2.1 - Buy,,,,,,3860568700000.0,,,,,,3818861800000.0,,,,,,41.724138,,,,,,10.5708,,,,,,0.0979,,,,,,17.200011,,,,,,28.655869,,,,,,19.4175,,,,,,23.7449,,,,,
2026-09-10,US,NMS,AAPL,Apple Inc.,Technology,Consumer Electronics,USD,4749104000000.0,NasdaqGS,America/New_York,USD,325.4108,315.34,1789068715,14594180000,14594180000,8.73,9.57757,8.82464,7.36,344.57,226.65,37.086464,53416348,1785441600,2.2 - Buy,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,4602128700000.0,4249933300000.0,3722512500000.0,3997076800000.0,3761715200000.0,3048153700000.0,4624073700000.0,4266137300000.0,3746114500000.0,4041036800000.0,3808041200000.0,3097841700000.0,36.162844,35.031477,32.125316,36.442359,38.638847,31.957944,32.2581,30.3951,29.4985,32.7869,31.6456,25.7069,2.4777,2.3381,2.2544,2.7512,2.4377,1.871,9.982998,9.51005,8.692125,9.80192,9.409086,7.78908,42.802536,39.90885,42.210143,54.210148,57.142871,45.633775,9.9054,9.45,8.5996,9.7103,9.3192,7.7375,27.531,26.6674,24.5001,27.9177,26.8747,22.3081
2026-09-10,US,NMS,NVDA,NVIDIA Corporation,Technology,Semiconductors,USD,5270565600000.0,NasdaqGS,America/New_York,USD,218.27,223.67,1789068715,24147000000,24147000000,7.92,15.56753,9.30725,9.483,236.54,164.27,26.245975,133310522,1794945600,1.3 - Strong Buy,2026-07-31,2026-04-30,2026-01-31,2025-10-31,2025-07-31,5400959500000.0,4847510200000.0,4833690200000.0,4645223500000.0,4921519400000.0,4337814800000.0,5376841500000.0,4779286200000.0,4782174200000.0,4595096500000.0,4878126400000.0,4288194900000.0,28.276865,30.742726,40.728571,47.309406,57.689459,57.377419,24.6305,22.8833,24.57,24.9377,31.5457,39.8406,0.5682,0.5529,0.6334,0.7215,0.9155,1.7245,18.011647,19.370093,22.65585,25.106609,30.216992,29.623143,23.586624,24.798747,30.730485,39.069308,49.150807,51.651311,17.7471,18.8539,22.1461,24.5541,29.5254,28.9224,22.9884,24.767,33.0827,38.5851,47.27,47.1396
